date,code,open,high,low,close,preclose,volume,amount,pctChg
2022-04-13,sh.000001,3199.7972,3225.4670,3183.5330,3186.8244,3213.3295,39115692500,398216898477.4000,-0.824848
2022-04-14,sh.000001,3203.6337,3240.0014,3200.2346,3225.6412,3186.8244,37124234400,401191632081.2000,1.218040
2022-04-15,sh.000001,3210.6996,3229.8655,3200.1332,3211.2448,3225.6412,40784208200,413498819916.5000,-0.446311
2022-04-18,sh.000001,3185.9428,3204.0274,3166.9782,3195.5240,3211.2448,34736512300,366380807917.7000,-0.489555
2022-04-19,sh.000001,3192.0924,3207.8276,3174.7138,3194.0287,3195.5240,33994410400,362769876685.7000,-0.046794
2022-04-20,sh.000001,3189.8912,3191.8315,3142.0485,3151.0498,3194.0287,36204703700,373572708095.7000,-1.345602
2022-04-21,sh.000001,3138.4276,3160.8994,3069.6809,3079.8077,3151.0498,39193469400,396542033946.7000,-2.260900
2022-04-22,sh.000001,3058.4044,3105.6552,3049.3555,3086.9193,3079.8077,34200056300,348793631074.8000,0.230911
2022-04-25,sh.000001,3034.2667,3043.8156,2928.5096,2928.5118,3086.9193,43360610800,427077210434.4000,-5.131572
2022-04-26,sh.000001,2930.4532,2957.6800,2878.2563,2886.4257,2928.5118,40161515400,395985961275.4000,-1.437116
2022-04-27,sh.000001,2866.8161,2959.1781,2863.6497,2958.2820,2886.4257,42306019100,422928346515.2000,2.489456
2022-04-28,sh.000001,2945.8109,2991.5101,2936.7941,2975.4848,2958.2820,37537177500,388743021897.8000,0.581513
2022-04-29,sh.000001,2986.0606,3048.4941,2968.3340,3047.0624,2975.4848,42393279400,440422728847.8000,2.405578
2022-05-05,sh.000001,3044.8491,3082.2295,3042.1155,3067.7587,3047.0624,38307287500,409352003238.8000,0.679221
2022-05-06,sh.000001,3011.3187,3030.6926,2992.7152,3001.5605,3067.7587,34326421800,346214397719.6000,-2.157869
2022-05-09,sh.000001,2990.1990,3015.9425,2983.6119,3004.1409,3001.5605,29206155600,299983258910.4000,0.085969
2022-05-10,sh.000001,2965.7759,3043.7789,2957.3968,3035.8442,3004.1409,37066098000,384012598374.9000,1.055320
2022-05-11,sh.000001,3035.3893,3100.8998,3034.6745,3058.7027,3035.8442,42399191200,472963382230.8000,0.752954
2022-05-12,sh.000001,3044.7997,3072.1574,3032.9452,3054.9940,3058.7027,34444047700,368879652308.0000,-0.121251
2022-05-13,sh.000001,3068.0331,3086.0957,3059.2527,3084.2845,3054.9940,33173785200,340942192652.9000,0.958774
2022-05-16,sh.000001,3100.5500,3102.5770,3063.3977,3073.7488,3084.2845,33810849200,348957705493.7000,-0.341593
2022-05-17,sh.000001,3076.4982,3093.6965,3057.6406,3093.6965,3073.7488,33035653700,351671298470.6000,0.648970
2022-05-18,sh.000001,3095.8862,3105.8419,3071.3050,3085.9768,3093.6965,31503792300,338849162214.0000,-0.249530
2022-05-19,sh.000001,3046.7104,3096.9648,3042.6742,3096.9648,3085.9768,33660074900,360018210692.0000,0.356062
2022-05-20,sh.000001,3107.0941,3146.5673,3107.0941,3146.5673,3096.9648,37233663600,415306218189.0000,1.601649
2022-05-23,sh.000001,3150.4898,3150.5093,3127.8986,3146.8573,3146.5673,35337632500,381178569221.6000,0.009216
2022-05-24,sh.000001,3149.0590,3153.1299,3070.9272,3070.9272,3146.8573,41631215800,438605376463.8000,-2.412887
2022-05-25,sh.000001,3070.1702,3107.6279,3069.9459,3107.4641,3070.9272,34225922700,342322167668.5000,1.189768
2022-05-26,sh.000001,3111.4817,3133.2767,3079.4812,3123.1079,3107.4641,37030551800,377364655262.0000,0.503427
2022-05-27,sh.000001,3135.0315,3151.0470,3112.5443,3130.2394,3123.1079,35946386600,372631595527.1000,0.228346
2022-05-30,sh.000001,3141.9560,3150.8923,3123.1495,3149.0607,3130.2394,34936228500,376667694193.1000,0.601274
2022-05-31,sh.000001,3149.9443,3188.6026,3142.0044,3186.4271,3149.0607,37452326500,432528021880.2000,1.186589
2022-06-01,sh.000001,3179.6949,3190.6094,3160.0399,3182.1566,3186.4271,36566443200,402419941241.2000,-0.134022
2022-06-02,sh.000001,3170.3055,3197.2818,3163.7555,3195.4580,3182.1566,36177063200,413729263916.9000,0.418000
2022-06-06,sh.000001,3196.9552,3237.0710,3181.6470,3236.3719,3195.4580,42202783500,517314346904.0000,1.280377
2022-06-07,sh.000001,3235.4160,3253.0930,3222.6354,3241.7635,3236.3719,40220322000,482203196909.9000,0.166594
2022-06-08,sh.000001,3245.0173,3266.6298,3216.0148,3263.7934,3241.7635,43418327000,508408534896.8000,0.679565
2022-06-09,sh.000001,3259.4899,3270.5571,3223.4751,3238.9543,3263.7934,42272837200,468458214289.7000,-0.761050
2022-06-10,sh.000001,3214.1848,3286.6195,3210.8083,3284.8341,3238.9543,43986573000,504153681088.1000,1.416500
2022-06-13,sh.000001,3256.2750,3272.9906,3229.3089,3255.5511,3284.8341,43857831200,511966171759.0000,-0.891461
2022-06-14,sh.000001,3224.2141,3289.1343,3195.8192,3288.9066,3255.5511,45038818700,513844989478.5000,1.024573
2022-06-15,sh.000001,3289.1036,3358.5453,3288.8512,3305.4066,3288.9066,55058413100,621972527662.7000,0.501686
2022-06-16,sh.000001,3306.8353,3319.6890,3277.5306,3285.3845,3305.4066,43322086800,506053993841.4000,-0.605738
2022-06-17,sh.000001,3265.5124,3323.2797,3262.8936,3316.7857,3285.3845,39530070000,497252170221.9000,0.955785
2022-06-20,sh.000001,3315.7833,3333.9025,3292.9279,3315.4302,3316.7857,41346041000,527751758046.3000,-0.040868
2022-06-21,sh.000001,3313.7874,3329.3900,3279.8269,3306.7186,3315.4302,39445689100,471793645369.8000,-0.262759
2022-06-22,sh.000001,3309.1184,3311.0209,3266.5427,3267.2016,3306.7186,37552978200,440850994256.2000,-1.195052
2022-06-23,sh.000001,3269.0545,3320.1487,3262.2939,3320.1487,3267.2016,40061421100,474200107521.5000,1.620564
2022-06-24,sh.000001,3324.7360,3356.7145,3322.9496,3349.7470,3320.1487,39081973400,509615998469.1000,0.891475
2022-06-27,sh.000001,3364.0030,3393.3091,3364.0030,3379.1852,3349.7470,41411773800,541573846134.1000,0.878819
2022-06-28,sh.000001,3377.6793,3412.1017,3358.8666,3409.2103,3379.1852,41205651600,525512509334.6000,0.888531
2022-06-29,sh.000001,3399.6779,3414.6467,3358.4676,3361.5177,3409.2103,44057355900,561306976812.3000,-1.398934
2022-06-30,sh.000001,3358.9338,3417.0085,3358.9338,3398.6161,3361.5177,38124317800,510307202947.5000,1.103621
