date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-04,20220704143000000,sh.600000,7.9600,7.9600,7.9500,7.9600,350500,2787555.0000,3
2022-07-04,20220704143500000,sh.600000,7.9600,7.9600,7.9500,7.9600,404900,3221702.0000,3
2022-07-04,20220704144000000,sh.600000,7.9600,7.9700,7.9500,7.9600,712000,5666032.0000,3
2022-07-04,20220704144500000,sh.600000,7.9600,7.9600,7.9500,7.9600,764509,6080952.0000,3
2022-07-04,20220704145000000,sh.600000,7.9600,7.9700,7.9600,7.9700,180892,1440418.0000,3
2022-07-04,20220704145500000,sh.600000,7.9600,7.9700,7.9600,7.9600,397046,3162537.0000,3
2022-07-04,20220704150000000,sh.600000,7.9600,7.9700,7.9600,7.9600,738771,5881932.0000,3
2022-07-05,20220705093500000,sh.600000,7.9600,8.0000,7.9500,7.9900,1721431,13751385.0000,3
2022-07-05,20220705094000000,sh.600000,7.9900,8.0000,7.9800,7.9900,537900,4298839.0000,3
2022-07-05,20220705094500000,sh.600000,7.9900,8.0000,7.9800,7.9900,520100,4155309.0000,3
2022-07-05,20220705095000000,sh.600000,7.9900,8.0000,7.9800,7.9900,327200,2614044.0000,3
2022-07-05,20220705095500000,sh.600000,7.9900,8.0000,7.9800,7.9800,446300,3564372.0000,3
2022-07-05,20220705100000000,sh.600000,7.9800,7.9900,7.9700,7.9700,436800,3485835.0000,3
2022-07-05,20220705100500000,sh.600000,7.9700,8.0000,7.9700,7.9900,1122400,8963368.0000,3
2022-07-05,20220705101000000,sh.600000,7.9800,7.9900,7.9800,7.9800,225200,1798179.0000,3
2022-07-05,20220705101500000,sh.600000,7.9800,7.9900,7.9800,7.9900,129100,1030820.0000,3
2022-07-05,20220705102000000,sh.600000,7.9900,7.9900,7.9800,7.9800,459791,3669432.0000,3
2022-07-05,20220705102500000,sh.600000,7.9900,7.9900,7.9800,7.9900,170800,1363309.0000,3
2022-07-05,20220705103000000,sh.600000,7.9900,7.9900,7.9800,7.9900,640690,5118554.0000,3
2022-07-05,20220705103500000,sh.600000,7.9800,8.0000,7.9800,7.9900,1165116,9309439.0000,3
2022-07-05,20220705104000000,sh.600000,7.9900,7.9900,7.9800,7.9900,252086,2011999.0000,3
2022-07-05,20220705104500000,sh.600000,7.9900,7.9900,7.9800,7.9800,174100,1389349.0000,3
2022-07-05,20220705105000000,sh.600000,7.9800,7.9900,7.9700,7.9800,237401,1893672.0000,3
2022-07-05,20220705105500000,sh.600000,7.9800,7.9800,7.9700,7.9700,86100,686358.0000,3
